NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-270;Rede Decisão/União;11;2;2E;Não;8.374.169.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;9,6;5;8,00;7.708.333.333.333.330;816.667;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-271;FIAP;18;4;8A;;5.703.335;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas avaliações de voluntariado,;Ponto a melhorar em 2021: As suas notas na Faculdade,;;958.335;0;3.125;7,80;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-272;Escola Pública;12;1;2B;Não;5.862.502.000.000.000;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;9;5;0,50;5.625;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-273;Escola Pública;8;1;0G;Não;878.125;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;10;7,5;10,00;78.125;649.999;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-274;Escola Pública;13;1;3R;Não;6.512.222.666.666.660;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;4,2;6.875;5,60;7.291.666.666.666.660;5.611.103.333.333.330;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-275;Rede Decisão/União;14;4;3B;Não;8.003.127.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;8,5;6.875;8,60;765.625;829.167;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-276;Escola Pública;10;1;1F;Não;6.662.084;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;2,3;7,5;10,00;71.875;691.666;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-277;Escola Pública;17;2;7A;Não;7.602.290.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;666.666;8,1;7,5;5,80;765.625;8.166.665;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-278;FIAP;19;1;8A;;8.651.667;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas avaliações de voluntariado,;Seu destaque em 2020: As suas boas notas na Faculdade,;;791.667;10;7,5;8,40;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-279;Rede Decisão/União;11;2;3B;Não;8.688.544.833.333.330;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9,5;7,5;7,60;796.875;85.416.725;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-280;Rede Decisão/União;11;3;1B;Não;8.308.752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;8,7;10;9,00;71.875;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-281;Escola Pública;16;1;6A;Não;7.771.876.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;8,5;7,5;4,80;796.875;8.208.335;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-282;Escola Pública;13;2;4L;Não;8.179.167.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;875.001;8,5;7,5;6,60;8.541.666.666.666.660;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-283;Escola Pública;8;0;0B;Não;7.233.337.000.000.000;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;10;7,5;5,75;2,5;5.916.675;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-284;Escola Pública;7;0;0A;Não;8.783.335.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.500.020.000.000.000;10;7,5;10,00;7,5;7.166.665;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-285;Escola Pública;13;4;3E;Não;8.008.612.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;958.335;8,8;5;7,60;8.125;7.222.219.999.999.990;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-286;Escola Pública;17;2;7A;Sim;8.215.626.166.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;9,5;7,5;6,30;765.625;87.083.375;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-287;Escola Pública;14;1;3C;Sim;8.302.779.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;10;4.375;8,30;9.791.666.666.666.660;9.222.226.666.666.660;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-288;Escola Pública;9;0;1G;Não;8.734.168;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;74.166.799.999.999.900;9,4;7,5;10,00;8.125;7,75;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-289;Escola Pública;14;1;5G;Não;7.521.039.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;666.666;9,1;6.875;6,30;796.875;641.666;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-290;Escola Pública;15;0;5B;Não;6.953.335.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;3,1;7,5;6,30;8;7.833.336.666.666.660;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-291;Rede Decisão/União;16;1;6A;Não;8.320.209.166.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;875.001;9,2;7,5;7,30;796.875;79.583.325;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-292;Escola Pública;10;2;2N;Sim;817.278;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;74.166.799.999.999.900;9,6;6,25;6,00;8,75;905.556;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-293;Escola Pública;10;2;1E;Não;8.647.224.666.666.660;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;8,5;10;10,00;8,75;8.611.113.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-294;Escola Pública;11;2;1A;Não;7.495.419;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;9,3;7,5;6,50;71.875;7.583.335;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-295;Escola Pública;9;0;0F;Não;8.362.502.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;10;7,5;9,50;8.125;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-296;Rede Decisão/União;16;3;5F;Sim;7.903.127.833.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;916.668;8,5;6.875;6,60;890.625;9.375.007.500.000.000;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-297;Escola Pública;10;0;1M;Não;5.045.418.000.000.000;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;3,3;7,5;0,00;71.875;758.333;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-298;Escola Pública;16;1;4A;Sim;7.579.446.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;9,8;7,5;5,00;8;872.223;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-299;Escola Pública;13;1;2C;Não;5.635.834.000.000.000;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;6,7;6.875;0,00;8;6.833.326.666.666.660;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-300;Escola Pública;11;1;0H;Não;8.306.252;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;10;6,25;10,00;78.125;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-301;Escola Pública;14;1;1M;Não;6.958.335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8,5;5.625;7,50;5.625;7.416.665;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-302;Escola Pública;12;2;1G;Não;7.482.502;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;8,1;7,5;7,00;8.125;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-303;Escola Pública;13;1;3F;Sim;9.098.057.333.333.330;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;9,9;6.875;9,60;8;8.944.446.666.666.660;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-304;Escola Pública;12;1;2R;Não;6.706.112;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;7,6;3,75;5,50;7,5;7.555.549.999.999.990;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-305;Escola Pública;10;0;1J;Não;6.742.502.000.000.000;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;6,9;7,5;5,00;7.291.666.666.666.660;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-306;Escola Pública;18;2;5L;Não;4.928.614.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.335;5,4;3.125;4,60;5;4.888.896.666.666.660;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-307;Escola Pública;14;2;4L;Não;7.275.557.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;6,6;5;6,00;8;7.944.450.000.000.000;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-308;Escola Pública;13;3;3M;Não;45.827.085;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;750.001;1,7;4.375;0,00;796.875;62.916.625;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-309;Escola Pública;12;1;2P;Não;57.302.773.333.333.300;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;0;8,7;6.875;3,00;8;7.055.553.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-310;Escola Pública;10;1;1J;Não;7.816.668.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;9,5;7,5;7,50;7,5;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-311;Escola Pública;12;2;2M;Não;7.702.085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;8,5;6,25;7,50;84.375;7.916.665;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-312;Escola Pública;12;1;2H;Não;5.866.251;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;4,3;7,5;4,00;65.625;7.249.995;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-313;Escola Pública;10;1;1N;Não;68.558.346.666.666.600;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;891.668;5,3;7,5;7,50;6.875;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-314;Escola Pública;13;1;3F;Não;60.124.986.666.666.600;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;7,5;5,5;7,5;1,10;8.125;6.833.326.666.666.660;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-315;Escola Pública;9;1;2L;Não;8.356.669.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.000.020.000.000.000;9,7;7,5;6,25;9;8.500.003.333.333.330;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-316;Escola Pública;13;1;3A;Não;7.288.543.499.999.990;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;958.335;4;5;9,00;796.875;71.666.675;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-317;Escola Pública;15;3;3F;Não;7.724.721.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;9,7;7,5;7,30;8.125;7.111.103.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-318;Escola Pública;8;0;0B;Sim;9.233.336;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;10;7,5;10,00;7,5;891.667;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-319;Escola Pública;11;1;1R;Não;7.682.224.000.000.000;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;6,3;7,5;10,00;7,5;761.111;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-320;Escola Pública;16;1;5G;Não;7.638.334.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;8,4;6.875;7,60;8.125;733.333;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-321;Escola Pública;10;1;1K;Não;5.295.835.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;750.002;5;7,5;0,00;7.291.666.666.666.660;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-322;Escola Pública;10;3;2H;Sim;7.841.669;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;8,5;6,25;6,50;5;9.083.335;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-323;Escola Pública;16;2;4B;Não;4.741.112.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;1,9;7,5;0,00;8;7.222.223.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-324;Escola Pública;14;1;4E;Não;7.424.375.833.333.330;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;708.334;6,2;6.875;7,60;796.875;72.916.675;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-325;Escola Pública;15;2;1E;Não;6.519.446;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa,;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8;4.375;6,00;5.208.333.333.333.330;8.055.553.333.333.330;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-326;Escola Pública;10;0;1K;Não;7.982.502;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;8,1;7,5;10,00;7.291.666.666.666.660;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-327;Escola Pública;8;1;0E;Não;8.664.586;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;10;7,5;7,50;78.125;816.667;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-328;Escola Pública;11;1;1J;Não;7.393.334.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;841.668;8,3;7,5;8,00;5;7,5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-329;Escola Pública;11;0;1K;Não;7.965.557.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa,;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8,8;6.875;9,00;7.291.666.666.666.660;7.944.443.333.333.330;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
