NOME;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021
ALUNO-794;2.0;E;Escola Pública;Ingressante;Ágata;6.875;8.0;6.3;7.5;5.9;8.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.7;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-795;1.0;J;Escola Pública;Ingressante;Quartzo;4.939;7.4;3.3;7.5;1.1;8.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.1;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-796;;;;;;;;;;;;;;;;;;;;
ALUNO-797;;;;;;;;;;;;;;;;;;;;
ALUNO-798;;;;;;;;;;;;;;;;;;;;
ALUNO-799;0.0;J;Escola Pública;Veterano;#NULO!;#NULO!;7.4;0.0;5.0;3.6;0.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;#NULO!;0.0;5.0;Nível 2 (5o e 6o ano);-2.0
ALUNO-800;;;;;;;;;;;;;;;;;;;;
ALUNO-801;;;;;;;;;;;;;;;;;;;;
ALUNO-802;;;;;;;;;;;;;;;;;;;;
ALUNO-803;4.0;L;Rede Decisão;Veterano;Topázio;9.108;10.0;9.2;7.5;8.5;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.7;10.0;Nível 3 (7o e 8o ano);1.0
ALUNO-804;1.0;B;Escola Pública;Veterano;Topázio;8.869;10.0;10.0;7.5;7.6;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.2;10.0;ALFA  (2o e 3o ano);1.0
ALUNO-805;0.0;J;Escola Pública;Ingressante;Ametista;7.854;9.5;10.0;7.5;6.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.1;5.0;Nível 1 (4o ano);-1.0
ALUNO-806;1.0;B;Escola Pública;Ingressante;Ágata;6.339;8.9;9.2;7.5;2.6;7.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.6;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-807;;;;;;;;;;;;;;;;;;;;
ALUNO-808;;;;;;;;;;;;;;;;;;;;
ALUNO-809;5.0;L;Rede Decisão;Veterano;Ágata;6.188;6.3;5.8;2.5;6.5;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;7.7;5.0;Nível 6 (2o EM);-1.0
ALUNO-810;;;;;;;;;;;;;;;;;;;;
ALUNO-811;5.0;B;Rede Decisão;Veterano;Ágata;5.987;6.7;6.4;3.8;3.0;7.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6.7;10.0;Nível 5 (1o EM);0.0
ALUNO-812;1.0;A;Escola Pública;Ingressante;Ametista;7.867;3.5;10.0;7.5;6.8;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;10.0;Nível 1 (4o ano);0.0
ALUNO-813;0.0;P;Escola Pública;Veterano;Ágata;6.652;9.5;6.7;6.3;6.9;4.7;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.0;5.0;Nível 2 (5o e 6o ano);-2.0
ALUNO-814;;;;;;;;;;;;;;;;;;;;
ALUNO-815;5.0;L;Rede Decisão;Veterano;Ametista;8.004;7.9;7.8;7.5;7.8;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;7.7;10.0;Nível 5 (1o EM);0.0
ALUNO-816;2.0;D;Rede Decisão;Veterano;Ametista;8.096;9.5;9.6;6.3;7.4;8.1;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.1;5.0;Nível 3 (7o e 8o ano);-1.0
ALUNO-817;;;;;;;;;;;;;;;;;;;;
ALUNO-818;4.0;L;Escola Pública;Veterano;Ágata;5.994;7.1;5.0;7.5;4.6;7.2;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;7.0;5.0;Nível 5 (1o EM);-1.0
ALUNO-819;2.0;H;Escola Pública;Veterano;Quartzo;4.200;9.5;0.0;7.5;2.2;5.6;Mantido na Fase atual;Não avaliado;Não avaliado;Não avaliado;Não;2.5;10.0;Nível 2 (5o e 6o ano);0.0
ALUNO-820;;;;;;;;;;;;;;;;;;;;
ALUNO-821;0.0;L;Escola Pública;Ingressante;Ágata;6.248;8.0;4.2;7.5;5.1;6.6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;5.9;10.0;ALFA  (2o e 3o ano);0.0
ALUNO-822;4.0;F;Escola Pública;Ingressante;Ágata;5.923;7.5;3.6;7.5;4.6;7.3;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;5.2;10.0;Nível 3 (7o e 8o ano);1.0
